"","Date","Prevision_Pluie"
"208",2016-04-25,"TRUE"
"209",2016-05-25,"FALSE"
"210",2016-05-29,"TRUE"
"211",2016-06-02,"TRUE"
"212",2016-06-04,"TRUE"
"213",2016-06-06,"FALSE"
"214",2016-06-12,"TRUE"
"215",2016-06-18,"TRUE"
"216",2016-06-26,"TRUE"
"217",2016-07-28,"TRUE"
"218",2016-07-30,"TRUE"
"219",2016-08-11,"FALSE"
"220",2016-08-17,"TRUE"
"221",2016-08-19,"TRUE"
"222",2016-08-23,"FALSE"
"223",2016-09-02,"FALSE"
"224",2016-09-04,"TRUE"
"225",2016-09-30,"TRUE"
"226",2016-10-02,"FALSE"
"227",2016-10-08,"FALSE"
"228",2016-10-12,"FALSE"
"229",2016-10-16,"FALSE"
"230",2016-11-03,"FALSE"
"231",2016-11-17,"TRUE"
"232",2016-11-21,"TRUE"
"233",2016-12-01,"FALSE"
"234",2016-12-11,"FALSE"
"235",2016-12-13,"FALSE"
"236",2016-12-17,"FALSE"
"237",2016-12-21,"FALSE"
"238",2016-12-27,"FALSE"
"239",2017-01-06,"FALSE"
"240",2017-01-16,"FALSE"
"241",2017-02-17,"FALSE"
"242",2017-02-21,"TRUE"
"243",2017-03-05,"TRUE"
"244",2017-03-09,"TRUE"
"245",2017-04-10,"FALSE"
"246",2017-04-12,"FALSE"
"247",2017-04-22,"FALSE"
"248",2017-04-26,"TRUE"
"249",2017-05-10,"FALSE"
"250",2017-05-14,"FALSE"
"251",2017-05-18,"TRUE"
"252",2017-05-26,"FALSE"
"253",2017-06-01,"FALSE"
"254",2017-06-13,"FALSE"
"255",2017-06-17,"FALSE"
"256",2017-06-19,"FALSE"
"257",2017-06-23,"TRUE"
"258",2017-06-29,"TRUE"
"259",2017-07-13,"FALSE"
"260",2017-07-27,"TRUE"
"261",2017-08-12,"TRUE"
"262",2017-08-28,"TRUE"
"263",2017-08-30,"TRUE"
"264",2017-09-03,"FALSE"
"265",2017-09-05,"TRUE"
"266",2017-09-11,"TRUE"
"267",2017-09-15,"TRUE"
"268",2017-09-27,"FALSE"
"269",2017-10-07,"FALSE"
"270",2017-10-15,"FALSE"
"271",2017-10-19,"TRUE"
"272",2017-11-10,"TRUE"
"273",2017-11-16,"FALSE"
"274",2017-11-26,"FALSE"
"275",2017-11-30,"TRUE"
"276",2017-12-04,"FALSE"
"277",2017-12-18,"FALSE"
"278",2018-01-15,"TRUE"
"279",2018-01-17,"TRUE"
"280",2018-01-27,"FALSE"
"281",2018-02-12,"TRUE"
"282",2018-02-14,"FALSE"
"283",2018-02-18,"FALSE"
"284",2018-02-28,"FALSE"
"285",2018-03-12,"TRUE"
"286",2018-05-17,"TRUE"
"287",2018-05-23,"TRUE"
"288",2018-06-02,"FALSE"
"289",2018-06-06,"TRUE"
"290",2018-06-14,"FALSE"
